,List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),Qty_Remaining,Soldout/not,Sold_day,Sold,SaleRate,Blowout
20,3066,CT8GES160M,6.5E+11,CT102472BF160B,Crucial,Server DDR3,Component,DRAM Memory,Server DRAM,Crucial DDR3L-1600 SODIMM 8GB/1Gx72 ECC CL11 Server Memory ,100.45,75.3375,14,2.5,22.6125,Recurring,01-Jan-19,Y,0.5,0,Sold,11,14,1.272727273,11
21,298,P3600PC2TB,7.36E+11,SSDPEDME020T401,Intel,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Intel DC P3600 Series SSDPEDME020T401 2TB HHHL (CEM2.0) PCI-Express 3.0 x4 Solid State Drive (MLC),1638.98,1229.235,14,2.5,407.245,Recurring,01-Jan-19,Y,0.25,0,Sold,11,14,1.272727273,11
22,579,E5-2650V4,,CM8066002031103,Intel,Xeon,Component,CPU / Processor,Server CPU,"Intel Xeon E5-2650 v4 Twelve-Core Broadwell Processor 2.2GHz 9.6GT/s 30MB LGA 2011-3 CPU, OEM",989.12,741.84,15,2.5,244.78,Recurring,01-Jan-19,Y,0.12,0,Sold,11,15,1.363636364,11
23,1537,CA-CR935,8.45E+11,UGT-CR935,Vantec,Card Reader,Component,Card Reader,Card Reader,Vantec UGT-CR935 USB 3.0 Multi-Memory Internal Card Reader,20.5,15.375,16,2.5,2.625,Recurring,01-Jan-19,Y,0.6,0,Sold,11,16,1.454545455,11
24,1323,INT-9402PT,7.36E+11,EXPI9402PTBLK,Intel,Wired Network Adapter,Component,Networking,Wired Networking,Intel EXPI9402PTBLK PRO/1000 PT Dual Port Server Adapter,158.88,119.16,11,2.5,37.22,Recurring,01-Jan-19,Y,1.6,0,Sold,11,11,1,11
25,3155,PM1725A1H6,,MZPLL1T6HEHP-00003,Samsung,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,"Samsung PM1725a Series 1.6TB PCI-Express 3.0 x8 Solid State Drive, Retail",635.5,476.625,11,2.5,156.375,Recurring,01-Jan-19,Y,0.18,0,Sold,11,11,1,11
26,3119,ST1920FM43,,ST1920FM0043,Seagate,SAS,Component,Solid State Drive,SAS,Seagate 1200.2 Series ST1920FM0043 1920GB 2.5 inch SAS 12Gb/s Solid State Drive (eMLC),640.63,480.4725,11,2.5,157.6575,Recurring,01-Jan-19,Y,0.72,0,Sold,11,11,1,11
27,1751,AS-XG35VQ,8.89E+11,XG35VQ,ASUS,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Asus ROG Strix XG35VQ 35 inch Widescreen 2500:1 4ms HDMI/DisplayPort/USB LED LCD Monitor (Dark gray, Red)",808.72,606.54,11,10,192.18,Recurring,01-Jan-19,Y,37.9,0,Sold,11,11,1,11
28,499,I9-9900XBX,7.36E+11,BX80673I99900X,Intel,Core I9,Component,CPU / Processor,Desktop CPU,"Intel Core i9-9900X X-series Skylake Processor 3.50GHz 8.0GT/s 19.25MB LGA 2066 CPU, Retail",962.47,721.8525,11,2.5,238.1175,Recurring,01-Jan-19,Y,0.28,0,Sold,11,11,1,11
29,423,FEU064MD1X,8.41E+11,FEU064MD1X,SUPER TALENT,IDE/PATA,Component,Solid State Drive,IDE/PATA,Super Talent DuraDrive ZT4 64GB 1.8 inch IDE Solid State Drive (MLC),53.3,39.975,12,2.5,10.825,Recurring,01-Jan-19,Y,0.35,0,Sold,11,12,1.090909091,11
