List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Inventory,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew
372,MZQLB1T9HA,,MZQLB1T9HAJR-00007,Samsung,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Samsung PM983 Series 1.92TB 2.5 inch PCI-Express 3.0 x4 Solid State Drive,,,,,,,0.08988764,0.011111111
3232,AS-S530FAR,1.93E+11,S530FA-DB51-RD,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Asus VivoBook S530FA-DB51-RD 15.6 inch Intel Core i5-8265U 1.6GHz/ 8GB DDR4/ 256GB SSD/ USB3.1/ Windows 10 Notebook (Starry Grey w/ RED edges),706.22,2,Recurring,01 January 2019,L,6.3,0.151685393,0.011111111
3232,AS-S530FAR,1.93E+11,S530FA-DB51-RD,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,Asus VivoBook S530FA-DB51-RD 15.6 inch Intel Core i5-8265U 1.6GHz/ 8GB DDR4/ 256GB SSD/ USB3.1/ Windows 10 Notebook (Starry Grey w/ RED edges),,,,,,,0.151685393,0.011111111
3168,ST3U56S12K,8.41E+11,ST3U56S12K,SUPER TALENT,USB 3.0 ,Component,USB Drive,USB 3.0,Super Talent 256GB Express ST1-2 USB 3.0 Flash Drive,57.4,2,Recurring,01 January 2019,L,0.06,0.185393258,0.011111111
3168,ST3U56S12K,8.41E+11,ST3U56S12K,SUPER TALENT,USB 3.0 ,Component,USB Drive,USB 3.0,Super Talent 256GB Express ST1-2 USB 3.0 Flash Drive,,,,,,,0.185393258,0.011111111
4080,CA-MCP2668,6.72E+11,MCP-260-00068-0B,Supermicro,Accessory,Hardware & Software,Server & Workstation,Accessory,Supermicro MCP-260-00068-0B 1U I/O Shield for X9SCAA with EMI Gasket in CSE-510/505/504,12.3,2,Recurring,01 January 2019,L,1,0.219101124,0.011111111
4080,CA-MCP2668,6.72E+11,MCP-260-00068-0B,Supermicro,Accessory,Hardware & Software,Server & Workstation,Accessory,Supermicro MCP-260-00068-0B 1U I/O Shield for X9SCAA with EMI Gasket in CSE-510/505/504,,,,,,,0.219101124,0.011111111
2351,CA-TRAYH42,8.09E+11,84H311810-042,Chenbro,Accessory,Hardware & Software,Server & Workstation,Accessory,Chenbro 84H311810-042 3.5/2.5 inch HDD Tray For SR105/ SR107/ SR209,5.13,2,Recurring,01 January 2019,L,1,0.258426966,0.011111111
2351,CA-TRAYH42,8.09E+11,84H311810-042,Chenbro,Accessory,Hardware & Software,Server & Workstation,Accessory,Chenbro 84H311810-042 3.5/2.5 inch HDD Tray For SR105/ SR107/ SR209,,,,,,,0.258426966,0.011111111
2860,MO-T55BK,8.41E+11,T55 BLACK,BORND,Mouse,Component,Input & Output Device,Mouse,Bornd T55 Fingerprint Mouse (Black),50.22,2,Recurring,01 January 2019,L,0.25,0.320224719,0.011111111
